"COMUNA","MACROZONA","id","stock_id","res","ct","yr"
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",17,2019
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",2813,2014
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",849,2014
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",5,2015
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",2,2021
"LOS VILOS","CENTRO",1,"Xiphias gladius","Low",1,2016
"OVALLE","CENTRO",1,"Xiphias gladius","Low",1,2020
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",12,2017
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",1562,2013
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",3,2021
"LA LIGUA","CENTRO",1,"Xiphias gladius","Low",1,2021
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",386,2013
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",748,2016
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",19,2019
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",2789,2015
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",4,2013
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",2,2016
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",1779,2017
"PAPUDO","CENTRO",1,"Xiphias gladius","Low",1,2021
"QUINTERO","CENTRO",1,"Xiphias gladius","Low",3,2013
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",42,2018
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",41,2018
"QUINTERO","CENTRO",1,"Xiphias gladius","Low",14,2020
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",475,2017
"LOS VILOS","CENTRO",1,"Xiphias gladius","Low",2,2020
"LOS VILOS","CENTRO",1,"Xiphias gladius","Low",1,2020
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",717,2016
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",630,2021
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",335,2018
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",1794,2018
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",8,2015
"VALPARAISO","CENTRO",1,"Xiphias gladius","Low",14,2017
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",122,2021
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",124,2020
"QUINTERO","CENTRO",1,"Xiphias gladius","Low",1,2017
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",1044,2020
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",1013,2020
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",1078,2015
"COQUIMBO","CENTRO",1,"Xiphias gladius","Low",889,2019
"SAN ANTONIO","CENTRO",1,"Xiphias gladius","Low",78,2019
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",11536,2017
"VALPARAISO","CENTRO",3,"Engraulis ringens","High",3,2019
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",9734,2015
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",11921,2013
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",11753,2018
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",20266,2014
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",23345,2019
"VALPARAISO","CENTRO",3,"Engraulis ringens","High",1,2018
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",3423,2014
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",1889,2018
"CONCON","CENTRO",3,"Engraulis ringens","High",3,2019
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",1639,2016
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",1385,2016
"CONCON","CENTRO",3,"Engraulis ringens","High",1,2018
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",277,2020
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",3681,2017
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",22882,2012
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",3068,2019
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",27403,2021
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",2409,2012
"COQUIMBO","CENTRO",3,"Engraulis ringens","High",26143,2020
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",2218,2015
"SAN ANTONIO","CENTRO",3,"Engraulis ringens","High",4450,2013
"TOME","CENTRO Y SUR",3,"Engraulis ringens","High",6,2012
"ARAUCO","CENTRO Y SUR",3,"Engraulis ringens","High",1,2020
"TOME","CENTRO Y SUR",3,"Engraulis ringens","High",1,2013
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",5600,2018
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",55417,2021
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",21913,2017
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",20393,2016
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",59645,2020
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",144,2014
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",751,2012
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",15874,2017
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",23904,2018
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",33395,2016
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",27224,2017
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",52595,2019
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",86229,2020
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",42591,2012
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",27657,2014
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",74889,2019
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",18304,2018
"TOME","CENTRO Y SUR",3,"Engraulis ringens","High",1,2014
"ARAUCO","CENTRO Y SUR",3,"Engraulis ringens","High",1,2017
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",6277,2017
"ARAUCO","CENTRO Y SUR",3,"Engraulis ringens","High",10,2013
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",9230,2015
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",71857,2020
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",85940,2021
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",27133,2020
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",76163,2021
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",9776,2013
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",29498,2018
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",30523,2021
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",30798,2016
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",15650,2013
"LEBU","CENTRO Y SUR",3,"Engraulis ringens","High",7,2012
"LEBU","CENTRO Y SUR",3,"Engraulis ringens","High",16,2014
"LOTA","CENTRO Y SUR",3,"Engraulis ringens","High",6357,2013
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",16983,2015
"CORONEL","CENTRO Y SUR",3,"Engraulis ringens","High",26682,2012
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",18296,2013
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",34102,2015
"TALCAHUANO","CENTRO Y SUR",3,"Engraulis ringens","High",72557,2019
